DIVISION_NAME,DEPARTMENT_NAME,ART_SV_NAME,BARCODE,UOM,END_QTY,NORMAL_COST
03 SOFT LINE,0350 FOOTWEAR,ขี้ผึ้งขัดรองเท้าสีดำ125ML,8850419307045,g,21,58.62
05 FRESH FOOD,0530 PRODUCE,ไร่ทิพย์เม็ดมะม่วง200G,8851683000663,g,20,75
04 DRY FOOD,0472 PAPER,แซนนิซอฟท์ผ้าอ้อมแห้งสบาย XL8,8850461301114,pc,10,106.687
05 FRESH FOOD,0530 PRODUCE,WRF เก๋ากี้ 100 ก,8851583023243,g,8,31
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,ปากกาลูกลื่น 0.5มม นง MMKU830,8856602088074,pc,15,16
05 FRESH FOOD,0560 PERISHABLE,BTG สกหมูชีสกลิ่นทรัฟเฟิล 95ก.,8852043646781,g,4,32.94
02 HOME LINE,0240 HOME IMPROVEMEN,แอมบิเพอร์ คลิปติดช่องแอร์ 2มล. สกาย บรีซ,4902430377195,,5,89.17
04 DRY FOOD,0460 HBA,12พลัสแป้งเอกตร้าคูล270Gคู่ฟ้า,8851123785396,g,5,63.081
05 FRESH FOOD,0570 FROZEN,WRF FZ ราสเบอร์รี่ 500กรัม,2000008609012,g,17,104.55
02 HOME LINE,0210 HOUSEWARE,BESICOกะละมังS NO.228 ขาว,8851119012284,pc,12,15
04 DRY FOOD,0461 FACE & COSMETICS,โรจูคิส ไฟโต เซรั่ม แพด 7กรัม,8858851449644,g,17,13.673
04 DRY FOOD,0420 SWEETED GROCE.2,IMP_มันชี่เล็กซัสชีสครีมบิสกิ,9556439882010,g,10,48.36
04 DRY FOOD,0472 PAPER,วีแคร์สำลีแบบกระปุก 100ก้าน,8854588000035,pc,5,18.393
04 DRY FOOD,0430 SALTED GROCERY,ฟ้าไทยผงปรุงรสรสหมู 400กรัม,8854334000234,g,18,42.99
04 DRY FOOD,0470 HOUSEHOLD,ซาวาเดหนึ่งหยด ลาเวนเดอร์ 20มล,4987072090534,mL,29,65.07
04 DRY FOOD,0420 SWEETED GROCE.2,IMP_เลย์ รสคลาสสิค 170กรัม,1200108000042,g,15,97.65
04 DRY FOOD,0461 FACE & COSMETICS,คิวท์เพรสสวีทมัสค์พาร์ฟูม,8850080750409,pc,6,35.29
04 DRY FOOD,0420 SWEETED GROCE.2,กูลิโกะโคลลอนครีม 41ก.,8851019030517,g,49,12.2
02 HOME LINE,0210 HOUSEWARE,BESICOชามญี่ปุ่นล.เส้น4.5น.2ช,5202506230072,pc,20,30.684
04 DRY FOOD,0430 SALTED GROCERY,แป้งข้าวโพดซุปเปอร์ไฟน์1000G,8850297114117,kg,13,31.682
04 DRY FOOD,0460 HBA,บีไนซ์LQS อิจิโกะ 400มล.ปั๊ม,8851989083346,mL,10,102.13
04 DRY FOOD,0460 HBA,เลอซาช่า แชมพู สีน้ำตาลเข้ม,8858690039297,mL,24,35.841
04 DRY FOOD,0410 SWEETED GROCE.1,โอวัลติน400กรัม(ขวด),8850086114007,g,13,98.99
04 DRY FOOD,0461 FACE & COSMETICS,LOR DERM ไกลโคลิค เดย์ 50 มล,8994993016525,mL,6,438.885
04 DRY FOOD,0410 SWEETED GROCE.1,เขาช่อง 3IN1คาปูชิโน 407.5 ก,8859102130977,g,17,159.317
04 DRY FOOD,0430 SALTED GROCERY,แป้งข้าวโพดไมซีน่า700G,8850144074038,g,13,41.667
04 DRY FOOD,0430 SALTED GROCERY,เด็กสมบูรณ์เต้าเจี้ยวเห็ดหอม350G.,8850206170104,g,16,26.168
04 DRY FOOD,0472 PAPER,ไลฟ์รี่กางเกงซึมซับ M-11'S,8851111601127,pc,5,259.81
04 DRY FOOD,0470 HOUSEHOLD,วิกซอล ออกซี่ มิ้นท์ 700 มล P2,8850092031114,mL,16,69.88
04 DRY FOOD,0410 SWEETED GROCE.1,เนสกาแฟ3อิน1 เอสเปรสโซ15.1กX40,8850127059113,g,81,143.894
04 DRY FOOD,0450 LIQUOR,YOONG THONG WHISKY 70CL.,8857104162149,cl,8,192.62
04 DRY FOOD,0440 BEVERAGE,WBPโซดาสิงห์วันเวย์ 325มล P24,8850999220024,cc,0,
05 FRESH FOOD,0560 PERISHABLE,ชาชงจืด-มะระขี้นก15กรัม,8853256000537,,14,30
04 DRY FOOD,0460 HBA,เบอกาม็อทโทนิคกล่องเขียว200มล.,8850215102004,cc,7,218.75
04 DRY FOOD,0461 FACE & COSMETICS,การ์นิเยอายมาส์กไบร์ท6ก,6923700927863,g,10,50.56
02 HOME LINE,0210 HOUSEWARE,BHP แผ่นใยขัดพร้อมฟองน้ำ 3*4ซม,8851315004229,pc,61,4.5
04 DRY FOOD,0430 SALTED GROCERY,อร่อยดีกะทิ 150ก,8851613106106,g,54,17.478
06 PHARMACY,0610 PRESCRIPTION,P_CC CONOVATE-N 5 G,8853144361412,g,2,22.43
04 DRY FOOD,0430 SALTED GROCERY,สมาร์ทอีทแกงพะแนงไก่115ก.,8858011585069,g,7,25.414
05 FRESH FOOD,0560 PERISHABLE,เกี๋ยมอี๋ธรรมชาติ350กรัม,8857115170362,,6,24
04 DRY FOOD,0470 HOUSEHOLD,ไลปอนเอฟ อนามัย 500 มล.ถุงเติม,8850002010109,mL,12,25.65
04 DRY FOOD,0430 SALTED GROCERY,ซีเล็คฟิตต์ทูน่าสเต็กน้ำมัน165,8852021707572,g,36,37.598
04 DRY FOOD,0430 SALTED GROCERY,นอติลุสทูน่าสเปรดเชดด้าชีส 75ก,8850229105503,g,36,34.23
04 DRY FOOD,0410 SWEETED GROCE.1,IMP_เนสกาแฟ เอสเพรสโซ่ 250ก,9300605114234,g,6,240.75
04 DRY FOOD,0470 HOUSEHOLD,บรีสน้ำป้องกันสีตก 650มล 2ฟรี1,8851932474535,mL,9,144.495
02 HOME LINE,0210 HOUSEWARE,เฟรช คิทเช่น มีด SANTOKU 12ซม.,3168430256507,pc,6,314.018
04 DRY FOOD,0440 BEVERAGE,ติ่งฟงน้ำแอปเปิ้ลเขียว 760มล,8858732820876,mL,10,69.54
04 DRY FOOD,0430 SALTED GROCERY,ซีเล็คน้ำพริกผัดนรกทูน่า85ก,8852021707923,g,28,23.855
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,P_VITACเจลลี สตริป กลิ่นส้ม,8856513013097,pc,11,9.11
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,P_แฮนดี้เฮิร์บจีไนเอกตรา4S,8856082005684,pc,27,38.047
02 HOME LINE,0240 HOME IMPROVEMEN,RKNหมวกกันน็อคเต็มใบ ปิดคาง XL,8858715820503,pc,3,553
05 FRESH FOOD,0560 PERISHABLE,TGMเบค่อนคอทเทจ150ก (1แถม1),8850826507175,g,19,120.23
04 DRY FOOD,0440 BEVERAGE,กระทิงแดงเอ็กตราเอบีซี145มลP10,8850228003039,mL,25,77.956
04 DRY FOOD,0472 PAPER,ดีนี่สำลีแผ่น45กรัม,8851989060361,g,54,19.9
04 DRY FOOD,0420 SWEETED GROCE.2,IMP_ลาคาซ่า ดาร์กช็อก92% 100ก,8410740913928,g,16,143.21
04 DRY FOOD,0460 HBA,ศศิ แอคเน่โซลลูสพาวเดอร์50ก,8858696812771,g,15,25.51
06 PHARMACY,0620 OVER THE COUNTER,P_K&K ดัมเบล 1000ML,8854060615344,mL,14,28.037
04 DRY FOOD,0461 FACE & COSMETICS,การ์นิเย่ มาส์กไวท์อัพ25ก.,6923700941531,g,23,50.56
04 DRY FOOD,0410 SWEETED GROCE.1,ยูซีซีคั่วบดโรสต์เอสเพรส230ก,8859449800106,g,4,138.99
02 HOME LINE,0210 HOUSEWARE,BESICOตะแกรงเหลี่ยมS NO.380ขาว,8851119013809,pc,18,14
04 DRY FOOD,0460 HBA,เจอร์เกนส์เดลี่มอยส์เจอร์621มล,8851818800533,mL,8,238.318
06 PHARMACY,0610 PRESCRIPTION,P_เรพาริล 20 มก. แผง 10 เม็ด,2000008024921,pc,36,53.4
04 DRY FOOD,0410 SWEETED GROCE.1,มอคโคน่า3IN1โกลDE 12กรัมP20,8851753090082,g,34,125.971
04 DRY FOOD,0460 HBA,แฟซ่า แชมพู ลดผมร่วงพันกัน340,8851818800328,mL,8,67.13
06 PHARMACY,0630 WELL BEING,P_EUCโอเมก้าเฟซครีม50มล,8850029042282,mL,1,615.28
05 FRESH FOOD,0560 PERISHABLE,บีทาเก้น นมเปรี้ยว พร่อง 140มลX4,8850393800136,mL,2,31.58
04 DRY FOOD,0420 SWEETED GROCE.2,เลย์คลาสสิค เมี่ยงคำครบรส 105ก,8850718821242,g,16,37.556
04 DRY FOOD,0422 SWEETED GROCE.2_SME,บีคริสปี้ ทูโกนมฮอกไกโด 20กรัม,8857200281089,g,43,9.112
06 PHARMACY,0630 WELL BEING,P_เซตาฟิลเบบีมอยซ์บาธ&วอช230มล,9318637043309,mL,1,245
02 HOME LINE,0230 RECREATION,BSK_CDU ไดโนเสาร์ DIY มีไฟ,8859701906812,pc,17,64
04 DRY FOOD,0410 SWEETED GROCE.1,เอนฟาแล็ค2  เอ+ 3800ก,8850024109133,g,6,3094.95
04 DRY FOOD,0430 SALTED GROCERY,WBPเด็กสมบูรณ์ ขาวเห็ดหอม1.95L,8850206010363,mL,9,147.43
04 DRY FOOD,0460 HBA,จอห์นสันเบบี้แชมพู800 สูตรใหม่,9556006000502,mL,7,156.083
02 HOME LINE,0230 RECREATION,BS-1241-1 เกมส์นักสืบ,8859701902838,pc,5,100
04 DRY FOOD,0472 PAPER,เทนเดอร์ก.ชำระยาวพิเศษ24ม,8851020101220,ro,2,127.012
02 HOME LINE,0240 HOME IMPROVEMEN,ปลั๊กแปลงขามีสวิทช์ มี FUSE,6904531001335,,11,81.87
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,DLK มาร์กเกอร์ 2 หัว C36 DK025,8851215040259,pc,12,120
04 DRY FOOD,0461 FACE & COSMETICS,CD ไบรท์เจลลี่มาสก์ 25กรัม,8858842006344,g,23,21.23
04 DRY FOOD,0460 HBA,เซนต์ เคราตินผสมรังไหม 75มล.,8858845322687,mL,9,42.306
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,ชาร์ปี้ มาร์กเกอร์แกลมป็อป P.5,3026982017741,pc,12,77.95
02 HOME LINE,0220 HOME DECOR,WSP ที่ใส่ของ BA-504 สีขาว,8851128139026,pc,6,64.75
06 PHARMACY,0630 WELL BEING,P_โปรวาเมด สการ์ ซิลิโคน10ก,8851515606834,g,1,157.028
04 DRY FOOD,0470 HOUSEHOLD,วิซ ถูพื้นสูตรเข้มข้น 650มลฟ้า,8850092104313,mL,13,33.65
04 DRY FOOD,0430 SALTED GROCERY,WBPเอฟแอนด์ดีโอชาซอสพริก900ก,8850343003464,g,37,21.458
05 FRESH FOOD,0560 PERISHABLE,IMP_เนยสดอลาวรี่400G.,8850332161151,g,16,175.7
04 DRY FOOD,0440 BEVERAGE,ไมโลยูเอชที 165มล แพ็ค12,8850125008236,mL,202,108.193
04 DRY FOOD,0410 SWEETED GROCE.1,เอนฟา ซีไบโอม สูตร1 475ก.,8850024109805,g,2,562.674
04 DRY FOOD,0430 SALTED GROCERY,IMP_เฟร้นช์ส มัสตาร์ด 226G,41500007007,g,16,82.369
06 PHARMACY,0620 OVER THE COUNTER,P_ยาน้ำมันสีเขียวต้นโพธิ5ซซ,8859180050204,cc,9,22.73
02 HOME LINE,0230 RECREATION,MTRลูกโป่งสีพาสเทล 10นิ้ว 6ใบ,8851059145325,pc,12,13.08
04 DRY FOOD,0461 FACE & COSMETICS,MZC ดิวอี้เมคอัพ 5 มล,8859433705622,pc,8,35.84
04 DRY FOOD,0461 FACE & COSMETICS,เคลียร์โนสแบล็คมาส์ก12g,8858977045225,g,8,29.767
06 PHARMACY,0610 PRESCRIPTION,P_CC นาโซแท็ป ไซรัป60มล.,8853144351215,,5,21.5
04 DRY FOOD,0410 SWEETED GROCE.1,เอนฟาแล็คเอนฟินิทัส1 จืด475ก,8850024109737,g,4,730.773
02 HOME LINE,0240 HOME IMPROVEMEN,NAPAท่อย่นพร้อมข้อต่อ 150ซม.,8851502024221,pc,5,133.91
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,สีไม้2หัว36สีมาสเตอร์อาร์ตA,8851907086985,,3,77.85
02 HOME LINE,0210 HOUSEWARE,BHPถุงมือยางไนไตร PMดำ30PC(L),8858983800948,pc,10,90.51
04 DRY FOOD,0460 HBA,เบอร์แมนแอ็คทีฟแปรงสีฟันซอฟ*5,8851145200389,pc,17,40.93
02 HOME LINE,0210 HOUSEWARE,BHPตะเกียบไม้ไผ่ 8นิ้ว 20คู่ M,8850723711415,pc,53,5.08
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,พลาสติกลูกฟูก49X65X3มม.ฟ้า,8851752082415,pc,21,21
04 DRY FOOD,0420 SWEETED GROCE.2,ไลน์เฟรนด์ มาชเมลโล่บลู 90กรัม,8888235096188,g,24,27.7
04 DRY FOOD,0461 FACE & COSMETICS,C&Cออยคอนโทนเนอร์100มล*2,8850007660286,mL,12,127.5
04 DRY FOOD,0460 HBA,คอลเกตแปรงสลิมพลัค P3,8850006951538,pc,10,127.167
04 DRY FOOD,0460 HBA,ดีเอ็มพีอัลตร้าโลชัน480แพ็ค1+1,8851929023364,mL,11,208.55
04 DRY FOOD,0461 FACE & COSMETICS,CLEAN&CLEARแอคเน่โทนเนอร์100มล,8850007660323,mL,7,79.58
02 HOME LINE,0240 HOME IMPROVEMEN,ถ่านกระดุม 3 V ขนาด3.2 มม.,4984824396135,pc,7,30
04 DRY FOOD,0460 HBA,ซันซิล แชม+นวด ส้ม 425+400มล,8851932430760,mL,16,163.257
02 HOME LINE,0210 HOUSEWARE,BHP จานกระดาษ 7 นิ้ว,8852413179659,pc,12,23.04
04 DRY FOOD,0420 SWEETED GROCE.2,บัตเตอร์คุกกี้อิมพีเรียล500G(M,8850332251142,g,17,155.43
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,P_นิวฟาร์วิตพลัส ( วิตามินบีรวม ) 100 เม็ด,8855930001007,,4,93.46
04 DRY FOOD,0470 HOUSEHOLD,OASIS เจลไล่ยุงพิ้งค์ บลอสซั่ม,8850273180112,g,7,64.88
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,P_แฮนดี้เฮิร์บไฟเบอมิกเบอรี่,8856082008166,g,12,25.794
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,ซองนต9*12 3/4KAซิลิคอน10ซอง,8850950000849,,-1,26.5
03 SOFT LINE,0322 MEN ESSENTIAL,BESICO กกน.ยางSP  P3 ดำXL,2000008716321,pc,5,92
04 DRY FOOD,0460 HBA,ดีแคสมาสเตอร์แมสMG801น้ำตาลทอง,8851144281129,mL,12,48.36
04 DRY FOOD,0410 SWEETED GROCE.1,สตาร์บัคส์ ดอลเช่ ไพก์เพลส 78ก,5000243800394,g,5,219.974
04 DRY FOOD,0440 BEVERAGE,แฟนต้าน้ำแดง1ลิตร,8851959149171,L,42,22.91
04 DRY FOOD,0430 SALTED GROCERY,นิสชินต้มยำกุ้งน้ำข้น72ก*5,8852528004433,g,10,41.667
06 PHARMACY,0630 WELL BEING,P_STXเพรียวเรเดียน-ซีไนครีม50ก,8850830523864,g,3,45.9
04 DRY FOOD,0420 SWEETED GROCE.2,เฟอเรโรรอชเชอร์ T24  300ก,8000500009673,g,8,496.43
04 DRY FOOD,0470 HOUSEHOLD,คอมฟอร์ทปรับผ้าเฟรช 470มล. 2+1,8851932470438,mL,-8,96.859
05 FRESH FOOD,0560 PERISHABLE,บีทาเก้นDYGโปรตีนรสออริ300มล.,8850393802178,g,2,26.49
06 PHARMACY,0620 OVER THE COUNTER,P_ไนโซรัลครีม 15 กรัม,8850583002654,pc,2,139.19
04 DRY FOOD,0470 HOUSEHOLD,ผงซักฟอกเปาซอฟท์ 1800 กรัม,8850002017191,g,8,97.958
04 DRY FOOD,0410 SWEETED GROCE.1,ยูซีซีไวท์คอฟฟี่ทูอินวัน25ก12ซ,9555366301014,g,19,127.794
04 DRY FOOD,0461 FACE & COSMETICS,ฮาดะ ลาโบะ เพอร์เฟค เจล 14 ก.,8851520037418,g,5,111.44
04 DRY FOOD,0460 HBA,เฮดแชมพูว่านหางจระเข้ 370มล,4987176103710,mL,13,148.21
04 DRY FOOD,0460 HBA,โพรเทคส์สบู่ก้อนทับทิม 60กX4,8850006947357,g,38,51.5
02 HOME LINE,0210 HOUSEWARE,BKS มีดซันโตกุ 7นิ้ว,2000008640121,pc,10,28.185
04 DRY FOOD,0410 SWEETED GROCE.1,จินเจนขิงผงสดสูตร2 18กX10ซอง,8850316010031,g,23,72.952
04 DRY FOOD,0440 BEVERAGE,นมUHTไทย-เดนมาร์กหวาน250CCP12(MP),8852537012221,mL,3,120.6
04 DRY FOOD,0430 SALTED GROCERY,ตรามือไทม์18ก.,8850885371083,g,12,32.5
05 FRESH FOOD,0570 FROZEN,S&P เค้กกล้วยหอมอัลมอนด์ 160ก.,8850231014183,g,33,107.73
01 HARD LINE,0160 MOBILE AND IT,MOVADA OPTICAL MOUSE_MO-008,8858744005155,pc,9,74.94
04 DRY FOOD,0430 SALTED GROCERY,ซอสหอยนางรมตราแม่ครัว300CC(M),8850038400028,cc,97,32.555
04 DRY FOOD,0470 HOUSEHOLD,มาจิคลีนถูพื้นสวีทโรส750มล,8851818036215,mL,15,37.485
02 HOME LINE,0210 HOUSEWARE,BKS ที่ขูดอาหารมีด้ามจับ SS,2000008639644,pc,7,39.467
06 PHARMACY,0610 PRESCRIPTION,P_เอสเซนเชียล ฟอร์ต 300 มก 10S,8850886077274,pc,9,112.699
04 DRY FOOD,0460 HBA,โลแลนแชมพูสีดำ N1 30ml.,8850460990630,mL,7,52.81
04 DRY FOOD,0460 HBA,แปรงสีฟันเด็กโคโดโมรุ่น 1-3,8850002000179,pc,9,18.334
04 DRY FOOD,0420 SWEETED GROCE.2,DI_HJ บิสกิตทรัฟเฟิลและแฮม120ก,4897115588730,g,9,25.027
04 DRY FOOD,0430 SALTED GROCERY,มาม่ารสหมูต้มยำ60กรัมแพค6ซอง(M),8850987128196,g,8,35.588
04 DRY FOOD,0450 LIQUOR,สปายไฮ สตรอว์เบอร์รี่ 275มล,8850382001315,mL,14,28.49
05 FRESH FOOD,0530 PRODUCE,กระเทียมโทนแม่จินต์350กรัม,8850134301267,g,19,86.075
04 DRY FOOD,0470 HOUSEHOLD,น้ำยารีดผ้าเรียบเอสเซ้นซ์ 500มล. สีเขียว,8850002852136,mL,23,13.33
02 HOME LINE,0220 HOME DECOR,BESICO เก้าอี้เหล็กกลม เบาะขาว,8851258053681,pc,5,185
04 DRY FOOD,0420 SWEETED GROCE.2,ลอตเต้ท็อปโปโกโก้สอดไส้ช็อค40ก,8852008510492,g,43,17.626
04 DRY FOOD,0461 FACE & COSMETICS,น้ำหอมเอสเซนส์เซ็กซี่สวีท3มล,8858713503620,mL,10,21.262
04 DRY FOOD,0420 SWEETED GROCE.2,เดอลาลิต้าโฮลวีตชิปข้าวโพด30ก,8859078002377,g,15,27.803
05 FRESH FOOD,0520 SEAFOOD,WRFเนื้อปลานิลแล่FZ(55-85ก)1กก,8859157211171,kg,16,151
06 PHARMACY,0620 OVER THE COUNTER,P_ไมโครพอร์ 1 X 10  หลา,8850304013211,,3,53.03
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,กระดาษถ่ายเอกสารช้างบางปะอิน80,8858659300109,pc,46,86.5
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,P_เมทิโคบอล 500 MCG,2000006867858,pc,5,56
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,P_เมก้าแนทบี12 แคปซูล,8850769027655,pc,4,64.77
02 HOME LINE,0210 HOUSEWARE,มีดหั่นด้ามสีดำเฉียง7KIWI,8851130050067,pc,5,67.23
04 DRY FOOD,0440 BEVERAGE,โออิชิกรีนที รสข้าวญี่ปุ่น 800 มล.,8854698010405,mL,36,23.79
04 DRY FOOD,0460 HBA,แอ๊กซ์สเปรย์ไอซ์ชิล135แพ็คคู่,8851932439121,mL,2,205.717
06 PHARMACY,0610 PRESCRIPTION,P_ไลมาริน ครีม 15 กรัม,8850884111024,g,2,53.58
02 HOME LINE,0240 HOME IMPROVEMEN,M3N-E20เต้ารับ3ขา2 ช่อง1,8855890028878,pc,10,95.98
04 DRY FOOD,0470 HOUSEHOLD,ดีนี่ซักผ้าเด็กอโลเวร่า 1300มล,8851989064833,mL,43,164.074
04 DRY FOOD,0461 FACE & COSMETICS,ลอรีอัลไกลโคลิค โทนเนอร์ 128มล,6941594509156,mL,7,585.41
04 DRY FOOD,0420 SWEETED GROCE.2,เอญ่าเส้นบุกปรุงรสยำแหนม 36ก,8858740494069,g,108,13.084
04 DRY FOOD,0410 SWEETED GROCE.1,ดูเม็กซ์ไฮคิวเปปติแกสโตร 400 ก,8851359709470,g,2,690.487
04 DRY FOOD,0470 HOUSEHOLD,วิกซอล ม่วง 900 มล.,8850092016210,mL,6,40.84
04 DRY FOOD,0472 PAPER,สำลีแผ่นรถพยาบาล(รีดข้าง)100(P),8850185000041,pc,20,31.261
04 DRY FOOD,0470 HOUSEHOLD,ซันไลต์พลัส คลีน&แคร์ 700มลX2,8851932460224,mL,35,80.82
04 DRY FOOD,0472 PAPER,เซลล็อกซ์ เดคคอร์ 110ผ. แพ็ค4,8850046337828,pc,185,107.22
04 DRY FOOD,0460 HBA,WBPอิงอร สบู่มะขาม 85ก P4,8858587001673,g,60,62.34
04 DRY FOOD,0461 FACE & COSMETICS,MBL ซุปเปอร์สเตย์ แมทอิงค์ 365,6902395808862,pc,3,190.026
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,ตราม้า แผ่นรองตัด A3,8858729208496,pc,13,176
04 DRY FOOD,0430 SALTED GROCERY,แฮปปี้เมทน้ำมันออร์แกนิค500ML,8856891003659,mL,5,269.5
06 PHARMACY,0610 PRESCRIPTION,P_ซีซา ไซรัป 60 มล. (CETIRIZINE),8858983000690,,1,21.029
02 HOME LINE,0220 HOME DECOR,BESICOเซทไมโครซาติน3.5 F3ช.นง.,8859691916563,pc,3,210
06 PHARMACY,0620 OVER THE COUNTER,P_แคร์ลีฟพลาสเตอร์กันน้ำ2 PCS,8851071090108,pc,10,18.95
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,กระดาษโน๊ตN1.5x2100P#NT801,6946515500076,pc,13,8
04 DRY FOOD,0470 HOUSEHOLD,WBPดาวน์นี่ปรับผ้าแพชชั่น20P24,4987176130785,mL,6,84
05 FRESH FOOD,0562 PERISHABLE_SME,แพลนเต้นมโปรตีนช็อกโกแลต350มล.,8859695600116,mL,2,35.981
04 DRY FOOD,0420 SWEETED GROCE.2,เดนทีนชูการ์ฟรีแตงโม21.6ก.,8850338034404,g,21,16.243
04 DRY FOOD,0470 HOUSEHOLD,มาจิคลีน แอคทีฟ เขียว 700 มล.,8851818029521,mL,12,43.21
05 FRESH FOOD,0560 PERISHABLE,มะขามดึ๋งดึ๋ง 140 ก.,8858820019939,g,24,62.916
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,QTM ปก.เจลแคทสแน็คGR 0.38นง.P6,8851907328832,pc,6,49.06
04 DRY FOOD,0470 HOUSEHOLD,แอมบิเพอร์ เจล เฟรช 180 ก. เลมอน แพคคู่,4902430518291,pc,5,98.66
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,3Mโพสต์อิท แฟล็กซ์ 683-5CB2,21200729775,pc,8,45.5
03 SOFT LINE,0322 MEN ESSENTIAL,BESICO กกน.ยางSP  P3 ขาวXXL,2000008716253,pc,6,92
02 HOME LINE,0230 RECREATION,PSC_พวงกุญแจตุ๊กตา #036164,8854502036164,pc,12,58
04 DRY FOOD,0422 SWEETED GROCE.2_SME,พิกก้าพริกทอดออริจินัลงาขาว25ก,8857127928012,g,20,14.49
04 DRY FOOD,0440 BEVERAGE,คาลพิสแลคโตะโซดาออริจินัล 245มล.,8851123238007,mL,119,12.112
06 PHARMACY,0620 OVER THE COUNTER,P_BISOLVON KIDS 60 ML.,8850886103041,,1,50.65
06 PHARMACY,0620 OVER THE COUNTER,P_ไทเกอร์พลาสเตอร์ผ้า25 ชิ้น,8850672230098,pc,13,26.17
01 HARD LINE,0112 MAJOR APPLIANCE,H_TOSHI ตย.2D 14.5Q GR-RT558WE,8858730390494,pc,2,10309
05 FRESH FOOD,0530 PRODUCE,BIGCเครื่องตุ๋นซุปไก่80G.,8850885910398,g,14,46.55
04 DRY FOOD,0461 FACE & COSMETICS,MBLซุปเปอร์สเตย์ แมทอิ้งค์ 500,6902395975267,g,4,190.026
02 HOME LINE,0210 HOUSEWARE,BHPถุงขยะม้วน LEMONM.24X28(20),8851079006774,pc,23,20
04 DRY FOOD,0472 PAPER,มามีโพโคแพ้นท์หญิง XXL34,8851111415410,pc,15,495.42
04 DRY FOOD,0440 BEVERAGE,ลิปตันเลมอนขวด445 มล.,8858998585076,mL,20,14.848
04 DRY FOOD,0420 SWEETED GROCE.2,IMP_ไฮไท ฮันนี่บัตเตอร์60ก,8801019606540,g,13,42.149
02 HOME LINE,0230 RECREATION,M&Gไม้แบดมินตันAST09360(1X2),6942109586273,pc,3,200
04 DRY FOOD,0460 HBA,แพนทีนมิราเคิลSH ไบโอติน 400มล,4987176378903,mL,7,176.3
04 DRY FOOD,0461 FACE & COSMETICS,ศรีจันทร์แบร์ทูพาว4.5กรัม,8858696809696,g,4,97.43
04 DRY FOOD,0461 FACE & COSMETICS,อินทูอิท สกินลูมินัสพาวเดอร์4ก,8858000028959,g,6,84.44
04 DRY FOOD,0460 HBA,แป้งแคร์โซเพียว300กรัม แพ็คคู่,8850006952023,g,6,93.67
04 DRY FOOD,0420 SWEETED GROCE.2,ยูไนเต็ดอัลมอนด์ช็อก&ไวท์220ก.,8852047412337,g,15,74.091
05 FRESH FOOD,0560 PERISHABLE,ดัชชี่BIODYGบลูแอปเปิ้ล150MLX3,8851717911576,mL,4,40.04
04 DRY FOOD,0420 SWEETED GROCE.2,พิพ เยลลี่ องุ่นปอกเปลือก 18ก.,8859708301757,g,256,5.037
04 DRY FOOD,0420 SWEETED GROCE.2,WBPเบนโตะหมึกอบซีฟู้ด 4ก P12,8850157403658,g,60,43.38
05 FRESH FOOD,0560 PERISHABLE,แต้จิ๋ว ปลาเส้นทอด 400ก,8850706081429,g,3,72.87
02 HOME LINE,0230 RECREATION,TRI กระเป๋าอเนกประสงค์,8854502036843,pc,4,70
04 DRY FOOD,0440 BEVERAGE,มาลีเพาเวอร์แพลนท์กรีน 1000มล.,8853333027181,mL,8,76.267
04 DRY FOOD,0461 FACE & COSMETICS,ไลฟ์ฟอร์ดไฮ-พรีไซส์อายเพ็นสีดำ,8858072412311,mL,7,123
04 DRY FOOD,0460 HBA,ดีนี่คิดส์ LQS แดง750มิลลิลิตร,8851989068138,mL,12,174.87
04 DRY FOOD,0461 FACE & COSMETICS,CCNจ๊อกจ๊อกทินท์2.5ก #5,8858842006443,g,5,92.83
04 DRY FOOD,0430 SALTED GROCERY,ซันลีเมล็ดข้าวโพดหวาน 340ก.,761934134963,pc,20,28.98
04 DRY FOOD,0460 HBA,เซ็นโซดายน์ ไวท์อีนาเมล 100ก.,8850615389210,g,10,159.74
02 HOME LINE,0230 RECREATION,MXT_CDU รถสามล้อหรรษา #850-10,8858668629819,pc,11,64.76
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,M&Gกาวแท่ง15กรัมMIFFYFSG971H8,6927036728064,pc,13,23.8
04 DRY FOOD,0430 SALTED GROCERY,โออิชิซอสเกี๊ยวซ่า 100 มล.,8859501340069,mL,36,34.34
